Fecha,Primero,Último,Mínimo,Máximo,Promedio simple,Promedio ponderado,Promedio ponderado sesión anterior
17 Ago 2021,621.00,620.99,620.50,621.50,620.97,620.98,620.62
18 Ago 2021,620.50,621.00,620.02,621.35,620.94,620.97,620.98
19 Ago 2021,621.00,621.30,620.76,621.50,621.24,621.27,620.97
20 Ago 2021,621.50,621.90,621.01,622.00,621.70,621.79,621.27
21 Ago 2021,,,,,,,
22 Ago 2021,,,,,,,
23 Ago 2021,621.50,622.45,621.50,622.50,622.36,622.38,621.79
24 Ago 2021,622.05,623.35,622.05,623.49,623.33,623.36,622.38
25 Ago 2021,623.50,624.04,623.36,624.14,623.91,623.97,623.36
26 Ago 2021,625.00,623.75,623.50,628.00,624.36,623.91,623.97
27 Ago 2021,623.99,624.04,623.60,624.35,624.04,624.03,623.91
28 Ago 2021,,,,,,,
29 Ago 2021,,,,,,,
30 Ago 2021,624.00,625.00,622.60,625.15,624.51,624.87,624.03
31 Ago 2021,625.00,625.60,624.82,625.95,625.37,625.56,624.87
1 Set 2021,626.00,625.75,625.00,626.49,625.56,625.61,625.56
2 Set 2021,625.10,625.70,625.00,626.47,625.60,625.58,625.61
3 Set 2021,625.00,625.75,625.00,626.00,625.54,625.61,625.58
4 Set 2021,,,,,,,
5 Set 2021,,,,,,,
6 Set 2021,625.00,626.31,625.00,626.49,626.00,626.15,625.61
7 Set 2021,626.00,626.80,624.52,627.50,626.71,626.73,626.15
8 Set 2021,624.60,628.50,624.56,628.99,627.60,627.48,626.73
9 Set 2021,628.00,627.25,625.00,631.00,629.15,628.83,627.48
10 Set 2021,629.00,627.00,626.72,629.00,627.37,627.22,628.83
11 Set 2021,,,,,,,
12 Set 2021,,,,,,,
13 Set 2021,0.00,0.00,0.00,0.00,0.00,0.00,627.22
14 Set 2021,627.00,626.00,625.26,627.00,625.69,625.66,627.22
15 Set 2021,627.00,625.80,625.20,627.00,625.80,625.79,625.66
16 Set 2021,625.60,625.25,625.01,625.94,625.63,625.58,625.79
17 Set 2021,626.00,625.35,625.05,626.00,625.28,625.25,625.58
18 Set 2021,,,,,,,
19 Set 2021,,,,,,,
20 Set 2021,625.45,625.55,625.00,625.85,625.43,625.48,625.25
21 Set 2021,626.00,626.55,625.25,626.85,626.26,626.47,625.48
22 Set 2021,627.00,627.00,623.00,627.45,626.85,626.86,626.47
23 Set 2021,622.00,627.59,622.00,627.99,627.45,627.54,626.86
24 Set 2021,626.10,627.75,625.15,628.00,627.38,627.56,627.54
25 Set 2021,,,,,,,
26 Set 2021,,,,,,,
27 Set 2021,627.75,627.40,627.25,628.00,627.41,627.38,627.56
28 Set 2021,626.50,627.90,626.50,628.20,627.52,627.66,627.38
29 Set 2021,627.96,628.75,627.80,628.90,628.53,628.65,627.66
30 Set 2021,627.10,628.40,627.10,629.50,628.56,628.49,628.65
1 Oct 2021,628.60,628.00,625.90,628.90,627.97,627.95,628.49
2 Oct 2021,,,,,,,
3 Oct 2021,,,,,,,
4 Oct 2021,627.65,627.31,627.00,627.90,627.36,627.36,627.95
5 Oct 2021,628.50,628.70,627.00,629.00,628.24,628.58,627.36
6 Oct 2021,628.10,628.95,628.00,629.25,628.79,628.80,628.58
7 Oct 2021,628.95,629.35,628.00,629.35,629.04,629.17,628.80
8 Oct 2021,629.20,629.95,629.20,629.98,629.66,629.72,629.17
9 Oct 2021,,,,,,,
10 Oct 2021,,,,,,,
11 Oct 2021,629.80,630.00,629.60,631.50,630.06,630.02,629.72
12 Oct 2021,628.50,630.50,628.50,631.69,630.39,630.45,630.02
13 Oct 2021,629.00,630.45,629.00,630.47,630.12,630.19,630.45
14 Oct 2021,629.00,630.50,629.00,630.90,630.19,630.26,630.19
15 Oct 2021,630.00,630.40,629.42,631.00,630.35,630.40,630.26
16 Oct 2021,,,,,,,
17 Oct 2021,,,,,,,
18 Oct 2021,630.66,630.45,629.50,630.99,630.54,630.54,630.40
19 Oct 2021,630.00,630.90,630.00,631.00,630.75,630.86,630.54
20 Oct 2021,627.00,631.75,627.00,632.50,631.45,631.75,630.86
21 Oct 2021,632.48,633.20,631.90,633.25,632.76,632.87,631.75
22 Oct 2021,632.00,633.60,632.00,634.00,633.47,633.52,632.87
23 Oct 2021,,,,,,,
24 Oct 2021,,,,,,,
25 Oct 2021,634.00,634.65,633.98,635.50,634.42,634.54,633.52
26 Oct 2021,634.80,636.55,634.52,636.55,635.53,635.86,634.54
27 Oct 2021,637.00,640.30,635.00,641.95,639.94,640.40,635.86
28 Oct 2021,640.50,640.30,635.00,643.49,638.84,638.44,640.40
29 Oct 2021,640.00,640.85,638.00,641.45,640.49,640.73,638.44
30 Oct 2021,,,,,,,
31 Oct 2021,,,,,,,
1 Nov 2021,640.50,640.75,634.50,641.60,640.50,640.88,640.73
2 Nov 2021,640.50,640.90,640.35,642.00,641.23,641.23,640.88
3 Nov 2021,639.00,642.00,639.00,642.79,641.92,641.99,641.23
4 Nov 2021,641.00,641.97,641.00,642.50,641.95,641.96,641.99
5 Nov 2021,641.50,642.35,640.00,643.50,642.24,642.30,641.96
6 Nov 2021,,,,,,,
7 Nov 2021,,,,,,,
8 Nov 2021,642.50,643.00,642.50,643.35,642.92,642.95,642.30
9 Nov 2021,643.00,643.65,642.50,643.75,643.50,643.56,642.95
10 Nov 2021,640.01,644.00,640.00,644.00,643.66,643.80,643.56
11 Nov 2021,644.50,644.15,643.15,644.75,644.02,644.07,643.80
12 Nov 2021,642.57,643.15,642.57,644.50,643.71,643.43,644.07
13 Nov 2021,,,,,,,
14 Nov 2021,,,,,,,
15 Nov 2021,643.10,639.89,638.00,643.40,640.23,639.71,643.43
16 Nov 2021,640.00,640.65,639.05,641.00,640.27,640.35,639.71
17 Nov 2021,640.00,639.90,639.50,642.15,640.02,639.88,640.35
18 Nov 2021,639.10,639.05,638.50,639.90,639.06,639.03,639.88
19 Nov 2021,638.50,638.25,638.01,638.95,638.45,638.42,639.03
20 Nov 2021,,,,,,,
21 Nov 2021,,,,,,,
22 Nov 2021,638.15,638.15,638.00,639.00,638.30,638.27,638.42
23 Nov 2021,638.10,638.00,637.81,638.14,637.99,637.99,638.27
24 Nov 2021,637.60,635.57,635.40,638.25,636.20,635.96,637.99
25 Nov 2021,635.74,630.00,629.00,635.89,630.42,629.91,635.96
26 Nov 2021,630.00,630.25,629.55,630.75,630.02,630.01,629.91
27 Nov 2021,,,,,,,
28 Nov 2021,,,,,,,
29 Nov 2021,0.00,0.00,0.00,0.00,0.00,0.00,630.01
30 Nov 2021,631.00,632.15,630.02,632.20,631.23,631.50,630.01
1 Dic 2021,630.00,632.25,630.00,634.00,632.25,632.10,631.50
2 Dic 2021,632.00,633.17,632.00,633.50,632.68,632.85,632.10
3 Dic 2021,631.50,635.95,631.50,639.00,634.86,635.01,632.85
4 Dic 2021,,,,,,,
5 Dic 2021,,,,,,,
6 Dic 2021,635.00,638.30,635.00,638.50,637.53,637.98,635.01
7 Dic 2021,638.00,641.00,637.55,642.00,640.48,640.82,637.98
8 Dic 2021,641.00,640.90,635.50,643.49,640.91,640.83,640.82
9 Dic 2021,641.00,640.04,640.00,644.00,640.49,640.10,640.83
10 Dic 2021,640.00,639.21,635.10,641.50,639.34,639.18,640.10
11 Dic 2021,,,,,,,
12 Dic 2021,,,,,,,
13 Dic 2021,634.00,640.00,634.00,640.95,639.19,639.53,639.18
14 Dic 2021,640.00,641.01,640.00,642.00,641.11,641.13,639.53
15 Dic 2021,640.75,639.25,638.90,641.00,639.47,639.22,641.13
16 Dic 2021,638.50,638.50,638.07,639.49,638.79,638.62,639.22
17 Dic 2021,638.50,638.65,638.50,641.00,639.10,638.95,638.62
18 Dic 2021,,,,,,,
19 Dic 2021,,,,,,,
20 Dic 2021,639.00,642.30,639.00,643.50,641.54,641.58,638.95
21 Dic 2021,640.00,644.75,640.00,646.00,644.61,644.76,641.58
22 Dic 2021,643.99,643.70,642.00,646.00,643.84,643.74,644.76
23 Dic 2021,644.49,643.01,637.20,644.50,642.79,642.85,643.74
24 Dic 2021,643.50,641.90,641.00,643.50,641.59,641.45,642.85
25 Dic 2021,,,,,,,
26 Dic 2021,,,,,,,
27 Dic 2021,639.50,642.76,639.01,643.45,642.26,642.35,641.45
28 Dic 2021,642.05,642.50,642.05,644.00,642.58,642.51,642.35
29 Dic 2021,640.00,642.50,639.00,644.00,642.71,642.66,642.51
30 Dic 2021,641.01,642.00,641.01,643.80,642.60,642.34,642.66
31 Dic 2021,0.00,0.00,0.00,0.00,0.00,0.00,642.34
1 Ene 2022,,,,,,,
2 Ene 2022,,,,,,,
3 Ene 2022,641.02,643.05,641.02,644.50,643.70,643.31,642.34
4 Ene 2022,647.99,642.55,642.50,647.99,642.91,642.72,643.31
5 Ene 2022,645.00,642.99,640.00,645.90,643.24,643.18,642.72
6 Ene 2022,643.80,642.90,642.80,644.50,643.36,643.19,643.18
7 Ene 2022,641.26,642.10,640.00,644.00,641.59,641.85,643.19
8 Ene 2022,,,,,,,
9 Ene 2022,,,,,,,
10 Ene 2022,642.00,640.00,639.99,642.00,640.50,640.27,641.85
11 Ene 2022,639.99,637.70,637.50,639.99,637.83,637.70,640.27
12 Ene 2022,635.30,636.06,635.30,636.50,636.05,636.04,637.70
13 Ene 2022,635.01,635.30,634.61,636.00,635.10,635.09,636.04
14 Ene 2022,634.67,634.30,633.15,635.00,634.03,634.07,635.09
15 Ene 2022,,,,,,,
16 Ene 2022,,,,,,,
17 Ene 2022,638.00,633.45,633.05,638.00,633.58,633.47,634.07
18 Ene 2022,633.00,634.10,633.00,635.00,633.83,633.92,633.47
19 Ene 2022,634.10,635.35,634.10,635.49,634.95,635.13,633.92
20 Ene 2022,635.01,637.80,635.00,638.00,637.02,637.47,635.13
21 Ene 2022,637.90,639.01,636.75,640.00,638.88,638.95,637.47
22 Ene 2022,,,,,,,
23 Ene 2022,,,,,,,
24 Ene 2022,639.00,641.89,639.00,644.00,641.80,641.93,638.95
25 Ene 2022,642.00,642.25,642.00,644.90,643.17,642.60,641.93
26 Ene 2022,642.00,644.70,642.00,644.70,643.35,643.69,642.60
27 Ene 2022,643.00,644.20,643.00,645.73,644.33,644.15,643.69
28 Ene 2022,644.00,644.85,638.01,645.00,644.30,644.39,644.15
29 Ene 2022,,,,,,,
30 Ene 2022,,,,,,,
31 Ene 2022,641.00,647.50,641.00,647.90,645.85,646.77,644.39
1 Feb 2022,646.00,646.50,643.50,646.69,645.29,645.82,646.77
2 Feb 2022,644.10,645.75,644.00,648.00,646.71,646.30,645.82
3 Feb 2022,647.60,645.90,645.00,647.60,645.65,645.64,646.30
4 Feb 2022,645.00,646.00,644.61,647.00,645.41,645.44,645.64
5 Feb 2022,,,,,,,
6 Feb 2022,,,,,,,
7 Feb 2022,645.00,645.40,641.00,646.74,645.38,645.44,645.44
8 Feb 2022,644.50,645.50,644.50,646.00,645.39,645.47,645.44
9 Feb 2022,645.50,645.55,645.00,645.75,645.38,645.47,645.47
10 Feb 2022,645.50,644.30,643.75,645.50,644.43,644.35,645.47
11 Feb 2022,643.00,642.47,640.00,643.09,642.43,642.47,644.35
12 Feb 2022,,,,,,,
13 Feb 2022,,,,,,,
14 Feb 2022,639.25,640.75,639.02,642.00,640.68,640.75,642.47
15 Feb 2022,639.07,641.90,639.05,641.95,641.23,641.57,640.75
16 Feb 2022,641.00,641.55,640.05,641.80,640.92,641.23,641.57
17 Feb 2022,645.00,641.00,639.50,645.00,641.05,641.02,641.23
18 Feb 2022,639.25,641.70,639.20,642.00,641.38,641.52,641.02
19 Feb 2022,,,,,,,
20 Feb 2022,,,,,,,
21 Feb 2022,642.00,642.48,641.99,643.50,642.53,642.50,641.52
22 Feb 2022,642.50,643.24,642.50,644.00,643.25,643.25,642.50
23 Feb 2022,643.24,644.00,643.00,644.15,643.98,643.99,643.25
24 Feb 2022,644.00,645.30,644.00,645.35,644.80,644.97,643.99
25 Feb 2022,645.00,645.25,644.50,646.10,645.13,645.09,644.97
26 Feb 2022,,,,,,,
27 Feb 2022,,,,,,,
28 Feb 2022,644.99,645.15,643.00,645.50,644.77,644.95,645.09
29 Feb 2022,,,,,,,
1 Mar 2022,644.00,645.55,644.00,646.00,644.91,645.18,644.95
2 Mar 2022,644.25,646.70,644.25,649.00,646.45,646.43,645.18
3 Mar 2022,647.50,648.50,646.50,648.70,648.07,648.28,646.43
4 Mar 2022,649.95,650.95,649.50,653.00,650.48,650.66,648.28
5 Mar 2022,,,,,,,
6 Mar 2022,,,,,,,
7 Mar 2022,652.50,652.50,651.20,652.75,652.45,652.49,650.66
8 Mar 2022,653.75,654.75,653.66,655.00,654.47,654.56,652.49
9 Mar 2022,654.00,653.55,652.35,654.74,653.47,653.50,654.56
10 Mar 2022,652.50,651.76,651.65,654.00,652.13,651.97,653.50
11 Mar 2022,650.50,647.70,647.00,651.50,648.17,647.67,651.97
12 Mar 2022,,,,,,,
13 Mar 2022,,,,,,,
14 Mar 2022,646.25,644.20,642.05,646.25,643.30,643.09,647.67
15 Mar 2022,640.10,643.50,640.10,645.50,641.75,642.27,643.09
16 Mar 2022,641.00,646.00,641.00,646.00,644.38,644.94,642.27
17 Mar 2022,644.95,648.65,644.95,648.65,647.95,648.20,644.94
18 Mar 2022,649.90,651.00,647.90,652.00,650.59,650.70,648.20
19 Mar 2022,,,,,,,
20 Mar 2022,,,,,,,
21 Mar 2022,652.00,653.30,650.00,653.50,652.95,653.18,650.70
22 Mar 2022,654.50,655.85,654.50,657.00,655.74,655.81,653.18
